DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-08-02,1.0933,1.04,0.0,-0.0533,-4.88,0.0933,7.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,24.23232,24.21937
2012-11-05,0.1867,0.6,0.0,0.4133,221.43,0.06,7.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,19,25.88341,27.18927
2013-02-06,0.5933,0.5333,0.0,-0.06,-10.11,0.0333,7.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,30.993640000000003,30.47196
2013-05-07,0.5733,0.4467,0.0,-0.1266,-22.09,0.06,3.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,35.96855,34.51647
2013-08-06,1.0133,1.0467,0.0,0.0334,3.29,0.06,4.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,39.62663,40.96501
2013-11-06,0.4067,0.6067,0.0,0.2,49.18,0.0667,4.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,19,50.17862,50.38905
2014-02-11,1.0533,1.08,0.0,0.0267,2.53,0.16,6.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,56.77864,51.78523
2014-05-07,1.02,0.8,0.0,-0.22,-21.57,0.17,4.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,61.19305,52.07498
2014-08-06,1.15,1.56,0.0,0.41,35.65,0.14,4.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,55.423019999999994,59.65962
2014-11-05,0.76,0.59,0.0,-0.17,-22.37,0.05,6.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,19,63.02386,51.64359
2015-02-10,1.12,0.89,0.0,-0.23,-20.54,0.25,6.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,19,48.04003,43.25695
2015-05-05,0.38,0.14,0.0,-0.24,-63.16,0.17,6.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,44.3,43.43
